list-none-none,1,10,1,30,145209,4840
list-none-none,1,100,1,300,142605,475
list-none-none,1,1000,1,3000,3794302,1264
list-none-none,1,10000,1,30000,671168547,22372
list-none-none,2,1,1,6,177346,29557
-1
list-none-none,2,100,1,600,1388472,2314
-1
list-none-none,2,1000,1,6000,84783831,14130
list-none-none,4,1,1,12,531931,44327
list-none-none,4,10,1,120,291586,2429
-1
list-none-none,4,100,1,1200,5663849,4719
-1
list-none-none,4,1000,1,12000,282965462,23580
list-none-none,8,1,1,24,634477,26436
list-none-none,8,100,1,2400,25045692,10435
list-none-none,12,1,1,36,988194,27449
list-i-none,2,1,1,6,196689,32781
list-i-none,2,2,1,12,267516,22293
list-i-none,2,4,1,24,250198,10424
list-i-none,4,1,1,12,414204,34517
list-i-none,4,2,1,24,307733,12822
list-i-none,4,4,1,48,503013,10479
list-i-none,4,8,1,96,541471,5640
list-i-none,8,1,1,24,627447,26143
list-i-none,8,2,1,48,812797,16933
list-i-none,12,1,1,36,961425,26706
list-i-none,12,2,1,72,1088122,15112
list-i-none,12,4,1,144,1199450,8329
list-i-none,12,8,1,288,1019316,3539
list-d-none,2,1,1,6,158078,26346
list-d-none,2,2,1,12,201879,16823
list-d-none,2,4,1,24,254838,10618
list-d-none,2,8,1,48,264282,5505
list-d-none,4,1,1,12,417038,34753
list-d-none,4,2,1,24,504791,21032
list-d-none,4,4,1,48,530331,11048
list-d-none,8,4,1,96,498833,5196
list-d-none,12,1,1,36,759447,21095
list-d-none,12,2,1,72,837375,11630
list-il-none,2,16,1,96,199329,2076
list-il-none,2,32,1,192,226238,1178
list-il-none,4,1,1,12,501061,41755
list-il-none,4,2,1,24,497965,20748
list-il-none,4,4,1,48,333930,6956
list-il-none,4,8,1,96,507987,5291
list-il-none,8,1,1,24,782762,32615
list-il-none,8,2,1,48,928510,19343
list-il-none,8,4,1,96,982599,10235
list-il-none,12,1,1,36,751851,20884
list-il-none,12,2,1,72,983368,13657
list-il-none,12,8,1,288,959006,3329
list-il-none,12,16,1,576,801154,1390
list-dl-none,2,1,1,6,241441,40240
list-dl-none,2,2,1,12,273697,22808
list-dl-none,2,8,1,48,265341,5527
-1
list-dl-none,2,32,1,192,576001,3000
list-dl-none,4,1,1,12,534210,44517
list-dl-none,4,2,1,24,514397,21433
list-dl-none,8,1,1,24,830203,34591
list-dl-none,8,2,1,48,1004030,20917
list-dl-none,8,4,1,96,818229,8523
list-dl-none,12,1,1,36,737193,20477
list-dl-none,12,2,1,72,948630,13175
list-dl-none,12,4,1,144,766487,5322
list-dl-none,12,8,1,288,746450,2591
list-dl-none,12,16,1,576,735058,1276
list-i-m,12,32,1,1152,5243448,4551
list-d-m,12,32,1,1152,5369271,4660
list-il-m,12,32,1,1152,5063156,4395
list-dl-m,12,32,1,1152,5778976,5016
list-i-s,12,32,1,1152,13271947,11520
list-d-s,12,32,1,1152,19351531,16798
list-il-s,12,32,1,1152,17467121,15162
list-dl-s,12,32,1,1152,17708020,15371
list-none-none,1,1000,1,3000,4038221,1346
list-none-m,1,1000,1,3000,3837587,1279
list-none-m,2,1000,1,6000,31431870,5238
list-none-m,4,1000,1,12000,125040586,10420
list-none-m,8,1000,1,24000,565217436,23550
list-none-m,12,1000,1,36000,1391834754,38662
list-none-m,16,1000,1,48000,2573045813,53605
list-none-m,24,1000,1,72000,5175106395,71876
list-none-s,1,1000,1,3000,3905377,1301
list-none-s,2,1000,1,6000,34699427,5783
list-none-s,4,1000,1,12000,338159647,28179
list-none-s,8,1000,1,24000,2329093486,97045
list-none-s,12,1000,1,36000,14081447321,391151
list-none-s,16,1000,1,48000,33034164104,688211
list-none-s,24,1000,1,72000,77132767370,1071288
